Title of project,Description
Evaluating the Performance of Spot in Automating Manufacturing Flow Rate Testing ,"The technical objective is to automate a manufacturing testing procedure using a quadraped mobile manipulator robot, also known as Spot, by exploring the reliability and accuracy of various pick and place, and mobility tasks. "
Robot OCT Character,"The primary technical goal of this project is to design, prototype, and integrate a character-based interface for a robotic OCT system that enhances human-robot interaction (HRI) specifically for pediatric patients during medical scans."
Human-Centric Approach to Reducing Discomfort in Social Navigation,To model human discomfort in social navigation and use it to create socially aware robot trajectories.
Multimodal Model-Based Reinforcement Learning for Autonomous Racing,"The goal is to train a multimodal (camera, lidar, etc.) model-based reinforcement learning racing agent, and deploy it for real-time control on the F1TENTH platform in a physical track environment."
Choquet-integral based Machine Learning for Sensor Fusion,Develop a Choquet-integral based machine learning method for sensor fusion.
Gaussian Splatting-based Perception,Utilize gaussian splatting techniques to do pose estimation and gasp point generation.
The Effects of Touch in Physical Human-robot Interaction,We are working with Honda Research Institute US to examine how people respond to robot-initiated touch and the bounds of their comfortability with the different components related to touch to better define and design algorithms for future assistive robots. 
Tools to Enable Automated Detection of Marine Archaeological Sites from Multibeam Sonar Data,"The technical objective is to explore how combining real and simulated data, choosing an appropriate model architecture, and fine-tuning training parameters can produce the best results for shipwreck segmentation from multi-beam sonar data. "
Active Perception with 3D Gaussian Splatting for Open Vocabulary Mobile Manipulation,"Fuse and filter the semantic masks produced by vision-language models online with gaussian splatting to produce more robust object maps for finding and manipulating in-the-wild open-vocabulary household objects in an efficient, information-maximizing manner."
Intelligent Navigation of Autonomous Maritime Robots,"Accomplish data collection for offline training for the reinforcement learning agent, integrate gym wrapper to enable online training, implement the tested model into real world experiment."
Heron Reinforcement Learning,Run baselines on the simulator Gazebo for the Heron unmanned surface vehicle (USV).
Development of Amputee-Prosthetic Leg Simulation Environment,Create a comprehensive simulation environment for an amputee-prosthetic leg system to enable future personalization of prosthetic controllers.
Cascaded Factor Graphs for Model Predictive Control,"This project aims to create a planning and control method that, through factor graph representations, can generate optimal control trajectories over a belief space to provide computation and uncertainty handling benefits over existing methods."
Human-Robot Collaborative Object Transport,"The aim of this project is to formalize strategies in the context of physically collaborative joint tasks between a human and a robot, construct a framework for communication of joint strategies, and evaluate an instantiation of the framework with participants in a user study."
Adaptation of Neural Transformer Models for Finger Motion ,Developing an online neural decoder based on the poyo transformer architecture for experimental use. 
Can LLMs Understand Disabilities?,"To evaluate whether large language models (LLMs) can reason about disabilities by developing a repository of disabilities and corresponding activities of daily living (ADLs) or physical motions, and creating a pipeline for benchmarking LLM responses, with the goal of applying this reasoning capability to assistive robotics for personalized support of users with diverse needs."
Feasibility of A Task-invariant Ankle Exoskeleton Controller for Post-stroke Assistance: A Case Study,To develop and validate a modified task-invariant ankle exoskeleton controller that effectively delivers both dorsiflexion and plantarflexion torque to improve gait kinematics and kinetics in post-stroke patients.
Underwater Sonar Gaussian Splatting for Autonomous Underwater Vehicles,Create a Dense 3D mapping algorithm specifically for underwater autonomous vehicles to use for mapping large scenes.
Impact of Transfemoral Adjustable-Volume Sockets on Prosthetic Use in Daily Life,Optimizing an automatic detection algorithm for prosthetic daily life measures with foot-worn sensors.
Distributed Resilient Multi-robot Network Formation,Deepen the understanding of distributed control in the context of multi-robot systems and have an intellectual contribution to the literature as a conference paper. 
Relative Pose Estimation for CubeSat Docking/Grappling,"Develop, evaluate and test a relative pose estimation framework applicable for docking/grappling related tasks for satellites."
Researching Socially Aware Robot Navigation Algorithms,The objective is to research algorithms that will allow robots to navigate among crowds of humans in realistic human environments (e.g. includes static obstacles) in a way that respects social conventions.
Nonholonomic Pushing with Learned Dynamics Model,The objective is to improve the learned dynamics models in the MPC controllers for the MuSHR car pushing tasks by collecting real-world data and then evaluate the performance of different models in complex block control tasks.
Virtual Reality Microsurgery,"To develop an image-integrated robotic microsurgical platform that combines adaptive perception through live optical coherence tomography (OCT) volumetric imaging with robotics, virtual reality (VR), and artificial intelligence (AI) to enhance microsurgical performance by resizing procedures to human scale and automating suturing tasks."
Propelling Human Creativity with LLMs,"Propelling Human Creativity with LLMs through the design of a creative LLM agent, which will also be used in a user study for evaluation."
